,symbol,emoji,kline,alert_price,Time_(MSK)
64,LINKUSDT,💥💥💥,1 kline,alert price: 15.107,2023-12-07 18:01:44.312000
65,CVXUSDT,🌊🌊🌊,2 kline,alert price: 4.038,2023-12-07 18:01:02.430000
66,GALUSDT,💥💥💥,1 kline,alert price: 1.649,2023-12-07 18:00:43.473000
67,CHRUSDT,🌊🌊🌊,2 kline,alert price: 0.1485,2023-12-07 17:56:37.548000
68,BADGERUSDT,💥💥💥,1 kline,alert price: 4.478,2023-12-07 17:53:51.621000
69,ARKMUSDT,💥💥💥,1 kline,alert price: 0.5154,2023-12-07 17:49:37.826000
70,BEAMXUSDT,💥💥💥,1 kline,alert price: 0.016667,2023-12-07 17:47:21.251000
71,PHBUSDT,🌊🌊🌊,2 kline,alert price: 0.8354,2023-12-07 17:44:28.488000
72,XVSUSDT,💥💥💥,1 kline,alert price: 10.608,2023-12-07 17:40:37.132000
73,1000XECUSDT,💥💥💥,1 kline,alert price: 0.03352,2023-12-07 17:38:33.153000
74,1000BONKUSDT,💥💥💥,1 kline,alert price: 0.009934,2023-12-07 17:33:34.471000
75,ALPHAUSDT,💥💥💥,1 kline,alert price: 0.10367,2023-12-07 17:32:37.143000
76,LEVERUSDT,🌊🌊🌊,2 kline,alert price: 0.001468,2023-12-07 17:32:32.657000
77,LOOMUSDT,💥💥💥,1 kline,alert price: 0.1254,2023-12-07 17:26:43.786000
78,BIGTIMEUSDT,💥💥💥,1 kline,alert price: 0.6616,2023-12-07 17:26:25.055000
79,SLPUSDT,🌊🌊🌊,2 kline,alert price: 0.003459,2023-12-07 17:19:29.298000
80,RVNUSDT,🌊🌊🌊,3 kline,alert price: 0.02228,2023-12-07 17:14:57.047000
81,PEOPLEUSDT,💥💥💥,1 kline,alert price: 0.01353,2023-12-07 17:14:49.647000
82,SXPUSDT,💥💥💥,1 kline,alert price: 0.3969,2023-12-07 17:13:45.400000
83,RIFUSDT,💥💥💥,1 kline,alert price: 0.1481,2023-12-07 17:03:22.662000
84,APTUSDT,💥💥💥,1 kline,alert price: 7.634,2023-12-07 17:03:00.420000
85,SEIUSDT,💥💥💥,1 kline,alert price: 0.2819,2023-12-07 17:02:00.413000
86,GALAUSDT,🌊🌊🌊,2 kline,alert price: 0.03051,2023-12-07 17:01:20.638000
87,XVGUSDT,🌊🌊🌊,2 kline,alert price: 0.003769,2023-12-07 17:01:20.641000
88,DYDXUSDT,💥💥💥,1 kline,alert price: 2.929,2023-12-07 17:00:52.505000
89,MAVUSDT,💥💥💥,1 kline,alert price: 0.3593,2023-12-07 16:56:27.371000
90,SUIUSDT,💥💥💥,1 kline,alert price: 0.6287,2023-12-07 16:55:57.373000
91,OXTUSDT,💥💥💥,1 kline,alert price: 0.08315,2023-12-07 16:53:56.168000
92,CHZUSDT,🌊🌊🌊,2 kline,alert price: 0.0841,2023-12-07 16:47:32.754000
93,DARUSDT,💥💥💥,1 kline,alert price: 0.1364,2023-12-07 16:41:52.858000
94,HOTUSDT,💥💥💥,1 kline,alert price: 0.001985,2023-12-07 16:39:56.180000
95,FXSUSDT,💥💥💥,1 kline,alert price: 8.819,2023-12-07 16:34:57.726000
96,1000FLOKIUSDT,💥💥💥,1 kline,alert price: 0.04001,2023-12-07 16:31:22.995000
97,REEFUSDT,💥💥💥,1 kline,alert price: 0.002047,2023-12-07 16:14:29.064000
98,BLZUSDT,💥💥💥,1 kline,alert price: 0.27331,2023-12-07 16:11:51.845000
99,CYBERUSDT,💥💥💥,1 kline,alert price: 6.985,2023-12-07 16:10:46.872000
100,CYBERUSDT,💥💥💥,1 kline,alert price: 6.985,2023-12-07 16:10:46.872000
101,ENJUSDT,💥💥💥,1 kline,alert price: 0.3356,2023-12-07 16:07:48.948000
102,IDUSDT,💥💥💥,1 kline,alert price: 0.2806,2023-12-07 16:05:44.509000
103,CTSIUSDT,🌊🌊🌊,2 kline,alert price: 0.1603,2023-12-07 16:00:11.422000
104,SEIUSDT,🌊🌊🌊,2 kline,alert price: 0.2813,2023-12-07 15:51:28.028000
105,RIFUSDT,💥💥💥,1 kline,alert price: 0.15088,2023-12-07 15:43:57.160000
106,MDTUSDT,💥💥💥,1 kline,alert price: 0.05881,2023-12-07 15:43:15.899000
107,BELUSDT,💥💥💥,1 kline,alert price: 0.734,2023-12-07 15:42:41.567000
108,EDUUSDT,💥💥💥,1 kline,alert price: 0.6976,2023-12-07 15:42:37.804000
109,ARBUSDT,🌊🌊🌊,2 kline,alert price: 1.0665,2023-12-07 15:33:56.291000
110,ARKMUSDT,💥💥💥,1 kline,alert price: 0.4997,2023-12-07 15:31:45.562000
111,POWRUSDT,🌊🌊🌊,2 kline,alert price: 0.3049,2023-12-07 15:31:36.336000
112,AXSUSDT,💥💥💥,1 kline,alert price: 7.24,2023-12-07 15:27:38.144000
113,HFTUSDT,🌊🌊🌊,2 kline,alert price: 0.3426,2023-12-07 15:26:39.603000
114,ARPAUSDT,💥💥💥,1 kline,alert price: 0.05175,2023-12-07 15:18:49.185000
115,MEMEUSDT,💥💥💥,1 kline,alert price: 0.041373,2023-12-07 15:16:53.592000
116,ANTUSDT,🌊🌊🌊,2 kline,alert price: 5.716,2023-12-07 15:14:05.293000
117,FXSUSDT,💥💥💥,1 kline,alert price: 8.592,2023-12-07 15:12:45.134000
118,STXUSDT,💥💥💥,1 kline,alert price: 1.0054,2023-12-07 15:11:56.511000
119,RNDRUSDT,💥💥💥,1 kline,alert price: 3.6037,2023-12-07 15:11:56.471000
120,CFXUSDT,🌊🌊🌊,2 kline,alert price: 0.1971,2023-12-07 15:11:51.347000
121,GALAUSDT,💥💥💥,1 kline,alert price: 0.03046,2023-12-07 15:11:29.761000
122,IOTAUSDT,💥💥💥,1 kline,alert price: 0.2929,2023-12-07 15:06:36.691000
123,IOSTUSDT,🌊🌊🌊,2 kline,alert price: 0.009514,2023-12-07 15:06:03.744000
124,AMBUSDT,💥💥💥,1 kline,alert price: 0.007975,2023-12-07 14:58:41.218000
125,WOOUSDT,💥💥💥,1 kline,alert price: 0.23498,2023-12-07 14:52:11.313000
126,SPELLUSDT,💥💥💥,1 kline,alert price: 0.0006278,2023-12-07 14:43:52.612000
127,XVSUSDT,💥💥💥,1 kline,alert price: 11.301,2023-12-07 14:38:57.288000
128,AXSUSDT,🌊🌊🌊,2 kline,alert price: 7.192,2023-12-07 14:25:56.044000
129,SOLUSDT,💥💥💥,1 kline,alert price: 63.801,2023-12-07 14:22:27.421000
130,DODOXUSDT,💥💥💥,1 kline,alert price: 0.1564,2023-12-07 14:20:19.806000
131,NKNUSDT,💥💥💥,1 kline,alert price: 0.11724,2023-12-07 14:16:50.626000
132,MAVUSDT,💥💥💥,1 kline,alert price: 0.3533,2023-12-07 14:02:52.395000
133,RIFUSDT,💥💥💥,1 kline,alert price: 0.14609,2023-12-07 14:01:45.151000
134,CHZUSDT,💥💥💥,1 kline,alert price: 0.08373,2023-12-07 14:01:40.613000
135,JOEUSDT,💥💥💥,1 kline,alert price: 0.5338,2023-12-07 14:01:29.590000
136,‼️‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,alert price: 43280.9,2023-12-07 14:00:40.477000
137,CELRUSDT,💥💥💥,1 kline,alert price: 0.01655,2023-12-07 13:47:43.227000
138,SXPUSDT,💥💥💥,1 kline,alert price: 0.3737,2023-12-07 13:44:30.345000
139,KSMUSDT,💥💥💥,1 kline,alert price: 27.15,2023-12-07 13:42:45.531000
140,SPELLUSDT,🌊🌊🌊,2 kline,alert price: 0.0006221,2023-12-07 13:41:51.895000
142,SOLUSDT,💥💥💥,1 kline,alert price: 63.523,2023-12-07 13:33:25.610000
143,XVSUSDT,💥💥💥,1 kline,alert price: 11.145,2023-12-07 13:31:59.607000
145,BELUSDT,💥💥💥,1 kline,alert price: 0.7147,2023-12-07 13:19:00.204000
148,SEIUSDT,💥💥💥,1 kline,alert price: 0.2672,2023-12-07 13:00:34.876000
149,STXUSDT,💥💥💥,1 kline,alert price: 0.9966,2023-12-07 12:58:20.221000
150,GASUSDT,💥💥💥,1 kline,alert price: 7.663,2023-12-07 12:57:33.539000
152,AGLDUSDT,💥💥💥,1 kline,alert price: 1.0137,2023-12-07 12:49:45.395000
153,BEAMXUSDT,💥💥💥,1 kline,alert price: 0.016562,2023-12-07 12:47:55.843000
154,GLMRUSDT,💥💥💥,1 kline,alert price: 0.3086,2023-12-07 12:47:47.408000
157,NMRUSDT,💥💥💥,1 kline,alert price: 16.02,2023-12-07 11:57:43.973000
158,TRBUSDT,💥💥💥,1 kline,alert price: 77.719,2023-12-07 11:40:39.298000
159,COTIUSDT,💥💥💥,1 kline,alert price: 0.05913,2023-12-07 11:33:47.241000
160,DYDXUSDT,🌊🌊🌊,2 kline,alert price: 2.975,2023-12-07 11:02:45.853000
161,USTCUSDT,🌊🌊🌊,2 kline,alert price: 0.04605,2023-12-07 11:02:38.091000
162,XVGUSDT,💥💥💥,1 kline,alert price: 0.003855,2023-12-07 11:01:45.135000
163,IOTXUSDT,💥💥💥,1 kline,alert price: 0.03491,2023-12-07 11:00:30.343000
164,ANKRUSDT,🌊🌊🌊,2 kline,alert price: 0.02745,2023-12-07 11:00:21.230000
165,ONEUSDT,🌊🌊🌊,2 kline,alert price: 0.01525,2023-12-07 10:57:46.322000
166,SXPUSDT,💥💥💥,1 kline,alert price: 0.3866,2023-12-07 10:50:56.622000
167,KAVAUSDT,💥💥💥,1 kline,alert price: 0.8578,2023-12-07 10:50:39.080000
168,QTUMUSDT,💥💥💥,1 kline,alert price: 3.296,2023-12-07 10:45:25.704000
169,POLYXUSDT,🌊🌊🌊,2 kline,alert price: 0.2128,2023-12-07 10:43:15.554000
170,STPTUSDT,🌊🌊🌊,2 kline,alert price: 0.06585,2023-12-07 10:39:09.027000
171,ZENUSDT,💥💥💥,1 kline,alert price: 11.2,2023-12-07 10:36:40.403000
172,LOOMUSDT,🌊🌊🌊,2 kline,alert price: 0.1199,2023-12-07 10:36:18.556000
173,POWRUSDT,🌊🌊🌊,2 kline,alert price: 0.3137,2023-12-07 10:35:22.334000
174,KSMUSDT,💥💥💥,1 kline,alert price: 27.33,2023-12-07 10:29:55.625000
175,FILUSDT,💥💥💥,1 kline,alert price: 4.987,2023-12-07 10:18:56.468000
176,PERPUSDT,🌊🌊🌊,2 kline,alert price: 0.6929,2023-12-07 10:16:16.294000
177,BONDUSDT,🌊🌊🌊,2 kline,alert price: 3.753,2023-12-07 10:12:46.293000
178,TIAUSDT,💥💥💥,1 kline,alert price: 10.0834,2023-12-07 10:12:33.070000
179,INJUSDT,🌊🌊🌊,2 kline,alert price: 17.403,2023-12-07 10:05:22.200000
180,FXSUSDT,💥💥💥,1 kline,alert price: 8.778,2023-12-07 10:05:14.038000
181,NKNUSDT,💥💥💥,1 kline,alert price: 0.1182,2023-12-07 10:05:09.414000
182,ARKMUSDT,💥💥💥,1 kline,alert price: 0.5,2023-12-07 10:04:56.426000
183,LINAUSDT,🌊🌊🌊,2 kline,alert price: 0.01115,2023-12-07 10:01:33.258000
184,1000BONKUSDT,💥💥💥,1 kline,alert price: 0.009085,2023-12-07 10:00:19.235000
185,TRUUSDT,🌊🌊🌊,2 kline,alert price: 0.05716,2023-12-07 09:57:55.968000
186,SUPERUSDT,💥💥💥,1 kline,alert price: 0.6052,2023-12-07 09:51:59.376000
187,IMXUSDT,💥💥💥,1 kline,alert price: 1.4312,2023-12-07 09:44:38.141000
188,ALGOUSDT,💥💥💥,1 kline,alert price: 0.1627,2023-12-07 09:43:53.396000
189,ALPHAUSDT,🌊🌊🌊,2 kline,alert price: 0.10174,2023-12-07 09:40:49.730000
190,SUIUSDT,💥💥💥,1 kline,alert price: 0.6349,2023-12-07 09:39:44.286000
191,ALICEUSDT,💥💥💥,1 kline,alert price: 1.203,2023-12-07 09:38:56.994000
192,SPELLUSDT,💥💥💥,1 kline,alert price: 0.0006473,2023-12-07 09:38:48.557000
193,DARUSDT,💥💥💥,1 kline,alert price: 0.1387,2023-12-07 09:34:40.151000
194,REEFUSDT,🌊🌊🌊,2 kline,alert price: 0.002037,2023-12-07 09:34:02.740000
195,ZENUSDT,🌊🌊🌊,2 kline,alert price: 11.15,2023-12-07 09:32:19.280000
196,SKLUSDT,💥💥💥,1 kline,alert price: 0.04223,2023-12-07 09:30:08.493000
197,COMBOUSDT,💥💥💥,1 kline,alert price: 0.7469,2023-12-07 09:28:33.012000
198,SFPUSDT,💥💥💥,1 kline,alert price: 0.7194,2023-12-07 09:25:42.500000
199,IDUSDT,🌊🌊🌊,2 kline,alert price: 0.2817,2023-12-07 09:25:34.091000
200,IDUSDT,🌊🌊🌊,2 kline,alert price: 0.2817,2023-12-07 09:25:34.091000
201,DUSKUSDT,💥💥💥,1 kline,alert price: 0.17194,2023-12-07 09:24:12.167000
202,HIFIUSDT,💥💥💥,1 kline,alert price: 0.8113,2023-12-07 09:17:50.572000
203,CHZUSDT,🌊🌊🌊,2 kline,alert price: 0.08544,2023-12-07 09:17:19.309000
204,1000FLOKIUSDT,💥💥💥,1 kline,alert price: 0.0403,2023-12-07 09:13:41.251000
205,MANAUSDT,💥💥💥,1 kline,alert price: 0.4831,2023-12-07 09:12:42.904000
206,EDUUSDT,💥💥💥,1 kline,alert price: 0.663,2023-12-07 09:12:15.591000
207,LEVERUSDT,🌊🌊🌊,2 kline,alert price: 0.00146,2023-12-07 09:11:10.056000
208,SLPUSDT,🌊🌊🌊,2 kline,alert price: 0.003144,2023-12-07 09:08:28.191000
209,SXPUSDT,💥💥💥,1 kline,alert price: 0.3806,2023-12-07 09:06:27.691000
210,SANDUSDT,🌊🌊🌊,2 kline,alert price: 0.4592,2023-12-07 09:06:00.168000
211,1INCHUSDT,💥💥💥,1 kline,alert price: 0.3872,2023-12-07 09:02:49.610000
212,ORBSUSDT,💥💥💥,1 kline,alert price: 0.04534,2023-12-07 08:58:41.219000
213,BIGTIMEUSDT,💥💥💥,1 kline,alert price: 0.6782,2023-12-07 08:56:36.177000
214,MEMEUSDT,🌊🌊🌊,2 kline,alert price: 0.041918,2023-12-07 08:44:16.797000
215,KEYUSDT,💥💥💥,1 kline,alert price: 0.006246,2023-12-07 08:43:30.822000
216,RIFUSDT,💥💥💥,1 kline,alert price: 0.14398,2023-12-07 08:36:29.503000
217,1000BONKUSDT,💥💥💥,1 kline,alert price: 0.00832,2023-12-07 08:34:28.625000
218,ZECUSDT,🌊🌊🌊,2 kline,alert price: 32.4,2023-12-07 08:31:11.966000
219,COMBOUSDT,💥💥💥,1 kline,alert price: 0.7456,2023-12-07 08:25:34.143000
220,PEOPLEUSDT,🌊🌊🌊,2 kline,alert price: 0.01392,2023-12-07 08:22:08.795000
221,EOSUSDT,💥💥💥,1 kline,alert price: 0.784,2023-12-07 08:12:49.143000
222,STORJUSDT,💥💥💥,1 kline,alert price: 0.7252,2023-12-07 08:11:50.378000
223,COTIUSDT,🌊🌊🌊,2 kline,alert price: 0.05938,2023-12-07 08:03:39.501000
224,XTZUSDT,🌊🌊🌊,2 kline,alert price: 0.915,2023-12-07 07:58:18.536000
225,MAVUSDT,🌊🌊🌊,2 kline,alert price: 0.348,2023-12-07 07:58:16.126000
226,SUPERUSDT,💥💥💥,1 kline,alert price: 0.6261,2023-12-07 07:53:30.177000
227,GALUSDT,💥💥💥,1 kline,alert price: 1.6515,2023-12-07 07:47:19.771000
228,ENJUSDT,🌊🌊🌊,2 kline,alert price: 0.332,2023-12-07 07:47:04.156000
229,BIGTIMEUSDT,💥💥💥,1 kline,alert price: 0.6692,2023-12-07 07:45:31.043000
230,XLMUSDT,🌊🌊🌊,2 kline,alert price: 0.12647,2023-12-07 07:44:47.567000
231,IDEXUSDT,🌊🌊🌊,2 kline,alert price: 0.06314,2023-12-07 07:44:16.074000
232,AVAXUSDT,💥💥💥,1 kline,alert price: 26.595,2023-12-07 07:41:59.554000
233,TIAUSDT,💥💥💥,1 kline,alert price: 10.0075,2023-12-07 07:39:53.897000
234,BEAMXUSDT,💥💥💥,1 kline,alert price: 0.015761,2023-12-07 07:38:55.083000
235,FXSUSDT,💥💥💥,1 kline,alert price: 8.729,2023-12-07 07:37:55.642000
236,RUNEUSDT,💥💥💥,1 kline,alert price: 6.517,2023-12-07 07:37:47.580000
237,BADGERUSDT,🌊🌊🌊,2 kline,alert price: 4.684,2023-12-07 07:31:27.726000
238,1000PEPEUSDT,💥💥💥,1 kline,alert price: 0.0015062,2023-12-07 07:30:56.016000
239,CKBUSDT,🌊🌊🌊,2 kline,alert price: 0.003411,2023-12-07 07:27:23.154000
240,NTRNUSDT,💥💥💥,1 kline,alert price: 0.6566,2023-12-07 07:22:27.898000
241,SKLUSDT,💥💥💥,1 kline,alert price: 0.04118,2023-12-07 07:18:13.293000
242,ONGUSDT,🌊🌊🌊,2 kline,alert price: 0.386,2023-12-07 07:16:52.251000
243,BSVUSDT,🌊🌊🌊,2 kline,alert price: 52.28,2023-12-07 07:14:48.654000
244,OPUSDT,💥💥💥,1 kline,alert price: 1.7504,2023-12-07 07:14:33.833000
245,LTCUSDT,🌊🌊🌊,2 kline,alert price: 73.52,2023-12-07 07:13:28.664000
246,DYDXUSDT,🌊🌊🌊,2 kline,alert price: 2.953,2023-12-07 07:12:02.803000
247,LPTUSDT,💥💥💥,1 kline,alert price: 6.651,2023-12-07 07:10:59.022000
248,KEYUSDT,🌊🌊🌊,2 kline,alert price: 0.006143,2023-12-07 07:06:42.296000
249,ETCUSDT,💥💥💥,1 kline,alert price: 20.724,2023-12-07 07:06:28.167000
250,GMTUSDT,💥💥💥,1 kline,alert price: 0.2825,2023-12-07 07:05:46.026000
251,APTUSDT,🌊🌊🌊,2 kline,alert price: 7.471,2023-12-07 07:05:06.825000
252,SLPUSDT,🌊🌊🌊,2 kline,alert price: 0.002961,2023-12-07 07:00:18.287000
253,BLZUSDT,💥💥💥,1 kline,alert price: 0.2683,2023-12-07 06:57:54.163000
254,STXUSDT,💥💥💥,1 kline,alert price: 1.0718,2023-12-07 06:53:39.355000
255,1000BONKUSDT,💥💥💥,1 kline,alert price: 0.00779,2023-12-07 06:50:59.921000
256,MATICUSDT,🌊🌊🌊,2 kline,alert price: 0.8293,2023-12-07 06:49:32.220000
257,PENDLEUSDT,💥💥💥,1 kline,alert price: 1.2161,2023-12-07 06:48:50.426000
258,JASMYUSDT,💥💥💥,1 kline,alert price: 0.006466,2023-12-07 06:38:51.515000
259,JOEUSDT,🌊🌊🌊,2 kline,alert price: 0.5113,2023-12-07 06:19:56.070000
260,HIGHUSDT,🌊🌊🌊,2 kline,alert price: 1.571,2023-12-07 06:19:55.902000
261,RIFUSDT,💥💥💥,1 kline,alert price: 0.14048,2023-12-07 06:19:00.299000
262,MEMEUSDT,💥💥💥,1 kline,alert price: 0.038799,2023-12-07 06:18:31.795000
263,USTCUSDT,💥💥💥,1 kline,alert price: 0.04621,2023-12-07 06:18:26.016000
264,DODOXUSDT,💥💥💥,1 kline,alert price: 0.15598,2023-12-07 06:18:21.233000
265,BIGTIMEUSDT,💥💥💥,1 kline,alert price: 0.6474,2023-12-07 06:18:16.312000
266,SUPERUSDT,💥💥💥,1 kline,alert price: 0.5993,2023-12-07 06:18:15.366000
267,BELUSDT,💥💥💥,1 kline,alert price: 0.7337,2023-12-07 06:16:59.157000
268,DOGEUSDT,💥💥💥,1 kline,alert price: 0.0977,2023-12-07 06:13:59.368000
270,RIFUSDT,💥💥💥,1 kline,alert price: 0.14009,2023-12-07 06:09:59.802000
271,1000FLOKIUSDT,💥💥💥,1 kline,alert price: 0.03944,2023-12-07 06:05:41.809000
273,XVGUSDT,🌊🌊🌊,2 kline,alert price: 0.003778,2023-12-07 05:58:16.309000
274,XTZUSDT,🌊🌊🌊,2 kline,alert price: 0.9,2023-12-07 05:45:15.643000
275,TRBUSDT,💥💥💥,1 kline,alert price: 75.122,2023-12-07 05:28:30.913000
276,FXSUSDT,🌊🌊🌊,2 kline,alert price: 8.367,2023-12-07 05:16:45.251000
277,SLPUSDT,🌊🌊🌊,2 kline,alert price: 0.002903,2023-12-07 05:15:36.109000
278,BLZUSDT,💥💥💥,1 kline,alert price: 0.26457,2023-12-07 05:12:48.729000
279,IOTXUSDT,💥💥💥,1 kline,alert price: 0.03548,2023-12-07 05:10:22.052000
280,SKLUSDT,💥💥💥,1 kline,alert price: 0.04126,2023-12-07 05:06:48.694000
281,CTKUSDT,💥💥💥,1 kline,alert price: 0.5889,2023-12-07 05:04:42.691000
282,STRAXUSDT,🌊🌊🌊,2 kline,alert price: 1.0718,2023-12-07 04:59:11.710000
283,AMBUSDT,🌊🌊🌊,2 kline,alert price: 0.008021,2023-12-07 04:57:17.420000
284,OCEANUSDT,🌊🌊🌊,2 kline,alert price: 0.5175,2023-12-07 04:54:29.073000
285,STORJUSDT,💥💥💥,1 kline,alert price: 0.7277,2023-12-07 04:52:18.435000
286,SEIUSDT,💥💥💥,1 kline,alert price: 0.277,2023-12-07 04:32:54.103000
287,ONEUSDT,💥💥💥,1 kline,alert price: 0.0151,2023-12-07 04:28:31.932000
288,IOTAUSDT,💥💥💥,1 kline,alert price: 0.2991,2023-12-07 04:26:57.194000
289,1000XECUSDT,💥💥💥,1 kline,alert price: 0.03469,2023-12-07 04:23:53.091000
290,CHRUSDT,🌊🌊🌊,2 kline,alert price: 0.1495,2023-12-07 04:19:27.485000
