,symbol,emoji,kline,alert_price,Time_(MSK)
1014,FXSUSDT,💥💥💥,1 kline,alert price: 8.577,2023-12-05 18:12:41.811000
1015,ALICEUSDT,🌊🌊🌊,2 kline,alert price: 1.187,2023-12-05 18:10:50.519000
1016,RIFUSDT,💥💥💥,1 kline,alert price: 0.136,2023-12-05 18:09:29.540000
1017,STXUSDT,💥💥💥,1 kline,alert price: 1.1881,2023-12-05 18:05:52.280000
1018,QNTUSDT,💥💥💥,1 kline,alert price: 101.22,2023-12-05 18:04:43.866000
1019,VETUSDT,💥💥💥,1 kline,alert price: 0.02493,2023-12-05 18:04:34.521000
1020,ZENUSDT,💥💥💥,1 kline,alert price: 11.211,2023-12-05 18:04:30.982000
1021,PERPUSDT,🌊🌊🌊,2 kline,alert price: 0.7039,2023-12-05 18:01:43.927000
1022,ENJUSDT,💥💥💥,1 kline,alert price: 0.3115,2023-12-05 18:00:59.160000
1023,BONDUSDT,💥💥💥,1 kline,alert price: 3.684,2023-12-05 17:59:11.038000
1024,RADUSDT,🌊🌊🌊,2 kline,alert price: 1.636,2023-12-05 17:55:35.456000
1025,1000LUNCUSDT,💥💥💥,1 kline,alert price: 0.2309,2023-12-05 17:55:24.549000
1026,IDEXUSDT,💥💥💥,1 kline,alert price: 0.06417,2023-12-05 17:50:56.927000
1027,DODOXUSDT,💥💥💥,1 kline,alert price: 0.13628,2023-12-05 17:50:52.517000
1028,HIGHUSDT,💥💥💥,1 kline,alert price: 1.584,2023-12-05 17:47:52.016000
1029,STEEMUSDT,💥💥💥,1 kline,alert price: 0.258,2023-12-05 17:43:43.079000
1030,ORBSUSDT,💥💥💥,1 kline,alert price: 0.04681,2023-12-05 17:34:21.860000
1031,SUIUSDT,💥💥💥,1 kline,alert price: 0.6317,2023-12-05 17:26:45.515000
1032,BEAMXUSDT,🌊🌊🌊,2 kline,alert price: 0.01281,2023-12-05 17:26:19.120000
1033,DUSKUSDT,🌊🌊🌊,2 kline,alert price: 0.17348,2023-12-05 17:24:16.774000
1034,POWRUSDT,💥💥💥,1 kline,alert price: 0.2955,2023-12-05 17:22:36.627000
1035,GMTUSDT,💥💥💥,1 kline,alert price: 0.2937,2023-12-05 17:21:58.844000
1036,HFTUSDT,💥💥💥,1 kline,alert price: 0.3314,2023-12-05 17:20:41.411000
1037,LPTUSDT,🌊🌊🌊,2 kline,alert price: 6.547,2023-12-05 17:19:24.723000
1038,BNXUSDT,🌊🌊🌊,2 kline,alert price: 0.3024,2023-12-05 17:13:01.848000
1039,ALPHAUSDT,💥💥💥,1 kline,alert price: 0.09799,2023-12-05 17:12:28.467000
1040,SFPUSDT,🌊🌊🌊,2 kline,alert price: 0.7153,2023-12-05 17:12:19.213000
1041,RVNUSDT,💥💥💥,1 kline,alert price: 0.02121,2023-12-05 17:07:35.088000
1042,1000BONKUSDT,🌊🌊🌊,2 kline,alert price: 0.006975,2023-12-05 17:07:22.184000
1043,NKNUSDT,💥💥💥,1 kline,alert price: 0.1134,2023-12-05 17:05:23.872000
1044,BALUSDT,💥💥💥,1 kline,alert price: 4.275,2023-12-05 17:03:14.433000
1045,TRUUSDT,🌊🌊🌊,2 kline,alert price: 0.05639,2023-12-05 17:02:20.957000
1046,NTRNUSDT,💥💥💥,1 kline,alert price: 0.666,2023-12-05 17:00:23.291000
1047,XVSUSDT,💥💥💥,1 kline,alert price: 8.783,2023-12-05 16:57:56.804000
1048,STRAXUSDT,🌊🌊🌊,2 kline,alert price: 1.1498,2023-12-05 16:56:39.788000
1049,BICOUSDT,💥💥💥,1 kline,alert price: 0.3086,2023-12-05 16:55:57.270000
1050,CHZUSDT,💥💥💥,1 kline,alert price: 0.07757,2023-12-05 16:55:37.422000
1051,C98USDT,💥💥💥,1 kline,alert price: 0.1995,2023-12-05 16:53:38.264000
1052,CAKEUSDT,🌊🌊🌊,2 kline,alert price: 2.3626,2023-12-05 16:45:09.990000
1053,KNCUSDT,💥💥💥,1 kline,alert price: 0.7444,2023-12-05 16:43:12.867000
1054,DODOXUSDT,💥💥💥,1 kline,alert price: 0.133,2023-12-05 16:42:55.431000
1055,UNIUSDT,💥💥💥,1 kline,alert price: 6.112,2023-12-05 16:41:09.067000
1056,BAKEUSDT,💥💥💥,1 kline,alert price: 0.1783,2023-12-05 16:40:13.993000
1057,CFXUSDT,🌊🌊🌊,2 kline,alert price: 0.2142,2023-12-05 16:35:22.346000
1058,GMTUSDT,💥💥💥,1 kline,alert price: 0.2895,2023-12-05 16:20:05.290000
1059,TOKENUSDT,🌊🌊🌊,2 kline,alert price: 0.05372,2023-12-05 16:16:35.944000
1060,PENDLEUSDT,💥💥💥,1 kline,alert price: 1.3027,2023-12-05 16:06:49.338000
1061,1000PEPEUSDT,💥💥💥,1 kline,alert price: 0.0015556,2023-12-05 16:06:37.019000
1062,MTLUSDT,💥💥💥,1 kline,alert price: 1.7115,2023-12-05 16:06:20.846000
1063,TIAUSDT,🌊🌊🌊,2 kline,alert price: 8.6086,2023-12-05 16:03:13.305000
1064,MEMEUSDT,💥💥💥,1 kline,alert price: 0.04328,2023-12-05 16:02:42.703000
1065,TUSDT,💥💥💥,1 kline,alert price: 0.02684,2023-12-05 16:02:28.522000
1066,SNTUSDT,🌊🌊🌊,2 kline,alert price: 0.04436,2023-12-05 16:01:59.873000
1067,ORBSUSDT,💥💥💥,1 kline,alert price: 0.0477,2023-12-05 16:01:51.446000
1068,ANKRUSDT,💥💥💥,1 kline,alert price: 0.02865,2023-12-05 15:56:00.395000
1069,POLYXUSDT,🌊🌊🌊,2 kline,alert price: 0.2135,2023-12-05 15:49:40.381000
1070,POWRUSDT,🌊🌊🌊,2 kline,alert price: 0.301,2023-12-05 15:48:15.818000
1071,OCEANUSDT,🌊🌊🌊,2 kline,alert price: 0.5482,2023-12-05 15:44:36.002000
1072,BSVUSDT,🌊🌊🌊,2 kline,alert price: 50.54,2023-12-05 15:41:30.059000
1073,WLDUSDT,💥💥💥,1 kline,alert price: 2.425,2023-12-05 15:37:43.261000
1074,NEARUSDT,💥💥💥,1 kline,alert price: 2.206,2023-12-05 15:36:48.552000
1075,LUNA2USDT,💥💥💥,1 kline,alert price: 1.175,2023-12-05 15:31:54.743000
1076,FLOWUSDT,🌊🌊🌊,2 kline,alert price: 0.806,2023-12-05 15:30:17.731000
1077,PEOPLEUSDT,🌊🌊🌊,2 kline,alert price: 0.0141,2023-12-05 15:21:41.608000
1078,1000BONKUSDT,💥💥💥,1 kline,alert price: 0.006526,2023-12-05 15:18:52.850000
1079,COMBOUSDT,💥💥💥,1 kline,alert price: 0.7852,2023-12-05 15:17:57.376000
1080,BEAMXUSDT,🌊🌊🌊,2 kline,alert price: 0.012472,2023-12-05 15:17:38.125000
1081,IDUSDT,💥💥💥,1 kline,alert price: 0.2933,2023-12-05 15:16:18.165000
1082,1000SHIBUSDT,🌊🌊🌊,4 kline,alert price: 0.009385,2023-12-05 15:15:30.035000
1083,COMPUSDT,💥💥💥,1 kline,alert price: 51.22,2023-12-05 15:14:48.110000
1084,SUIUSDT,💥💥💥,1 kline,alert price: 0.6337,2023-12-05 15:13:46.840000
1085,DYDXUSDT,💥💥💥,1 kline,alert price: 3.087,2023-12-05 15:12:05.119000
1086,TOKENUSDT,💥💥💥,1 kline,alert price: 0.04845,2023-12-05 15:01:40.842000
1087,1000FLOKIUSDT,💥💥💥,1 kline,alert price: 0.03933,2023-12-05 15:01:03.243000
1088,YGGUSDT,🌊🌊🌊,2 kline,alert price: 0.378,2023-12-05 15:01:08.325000
1089,XVGUSDT,💥💥💥,1 kline,alert price: 0.00371,2023-12-05 14:58:22.733000
1090,MASKUSDT,💥💥💥,1 kline,alert price: 3.855,2023-12-05 14:54:56.354000
1091,1000PEPEUSDT,💥💥💥,1 kline,alert price: 0.0014273,2023-12-05 14:44:57.423000
1092,STXUSDT,🌊🌊🌊,2 kline,alert price: 1.1636,2023-12-05 14:44:45.006000
1093,ORDIUSDT,💥💥💥,1 kline,alert price: 49.916,2023-12-05 14:44:35.750000
1095,EGLDUSDT,🌊🌊🌊,2 kline,alert price: 50.27,2023-12-05 14:34:15.889000
1096,EDUUSDT,💥💥💥,1 kline,alert price: 0.6427,2023-12-05 14:23:55.723000
1097,IOSTUSDT,💥💥💥,1 kline,alert price: 0.009792,2023-12-05 14:20:31.178000
1098,1000BONKUSDT,💥💥💥,1 kline,alert price: 0.006398,2023-12-05 14:17:49.696000
1099,BAKEUSDT,💥💥💥,1 kline,alert price: 0.1764,2023-12-05 14:16:41.714000
1100,BAKEUSDT,💥💥💥,1 kline,alert price: 0.1764,2023-12-05 14:16:41.714000
1101,FXSUSDT,🌊🌊🌊,2 kline,alert price: 8.705,2023-12-05 14:05:38.993000
1102,LUNA2USDT,🌊🌊🌊,2 kline,alert price: 1.2,2023-12-05 13:54:34.576000
1103,FLOWUSDT,🌊🌊🌊,2 kline,alert price: 0.822,2023-12-05 13:41:43.990000
1104,TUSDT,🌊🌊🌊,2 kline,alert price: 0.02671,2023-12-05 13:30:22.427000
1105,RVNUSDT,💥💥💥,1 kline,alert price: 0.02126,2023-12-05 13:29:40.853000
1106,RNDRUSDT,🌊🌊🌊,2 kline,alert price: 3.5663,2023-12-05 13:23:38.821000
1107,C98USDT,💥💥💥,1 kline,alert price: 0.2023,2023-12-05 13:22:31.131000
1108,ILVUSDT,💥💥💥,1 kline,alert price: 107.9,2023-12-05 13:20:54.378000
1109,STRAXUSDT,💥💥💥,1 kline,alert price: 1.1311,2023-12-05 13:12:34.859000
1110,TRXUSDT,🌊🌊🌊,2 kline,alert price: 0.10325,2023-12-05 13:09:25.812000
1111,IMXUSDT,💥💥💥,1 kline,alert price: 1.4657,2023-12-05 13:05:58.500000
1112,BICOUSDT,💥💥💥,1 kline,alert price: 0.3045,2023-12-05 13:03:52.896000
1113,SUSHIUSDT,💥💥💥,1 kline,alert price: 1.3613,2023-12-05 12:56:47.583000
1114,GALUSDT,💥💥💥,1 kline,alert price: 1.6443,2023-12-05 12:52:49.289000
1115,XVGUSDT,💥💥💥,1 kline,alert price: 0.003709,2023-12-05 12:49:00.093000
1116,USTCUSDT,💥💥💥,1 kline,alert price: 0.05482,2023-12-05 12:48:31.014000
1117,SFPUSDT,💥💥💥,1 kline,alert price: 0.7163,2023-12-05 12:46:56.883000
1118,KSMUSDT,🌊🌊🌊,2 kline,alert price: 26.89,2023-12-05 12:39:02.790000
1119,COMBOUSDT,💥💥💥,1 kline,alert price: 0.778,2023-12-05 12:28:46.591000
1120,BLURUSDT,💥💥💥,1 kline,alert price: 0.5486,2023-12-05 12:28:08.520000
1121,HIGHUSDT,💥💥💥,1 kline,alert price: 1.579,2023-12-05 12:22:32.558000
1122,ORBSUSDT,💥💥💥,1 kline,alert price: 0.04768,2023-12-05 12:19:36.244000
1123,VETUSDT,💥💥💥,1 kline,alert price: 0.02368,2023-12-05 12:10:21.180000
1124,JOEUSDT,💥💥💥,1 kline,alert price: 0.4879,2023-12-05 12:09:57.494000
1125,HIFIUSDT,💥💥💥,1 kline,alert price: 0.7379,2023-12-05 12:09:35.111000
1126,AGLDUSDT,💥💥💥,1 kline,alert price: 1.1124,2023-12-05 12:08:13.279000
1127,DUSKUSDT,🌊🌊🌊,2 kline,alert price: 0.1715,2023-12-05 12:03:21.134000
1128,BEAMXUSDT,🌊🌊🌊,2 kline,alert price: 0.012113,2023-12-05 12:02:42.278000
1129,AUDIOUSDT,💥💥💥,1 kline,alert price: 0.2289,2023-12-05 11:57:56.423000
1130,1000PEPEUSDT,💥💥💥,1 kline,alert price: 0.0013865,2023-12-05 11:56:59.461000
1131,COMPUSDT,💥💥💥,1 kline,alert price: 50.57,2023-12-05 11:56:45.431000
1132,FLOWUSDT,🌊🌊🌊,2 kline,alert price: 0.808,2023-12-05 11:52:41.087000
1133,SFPUSDT,💥💥💥,1 kline,alert price: 0.6984,2023-12-05 11:45:50.723000
1134,GLMRUSDT,💥💥💥,1 kline,alert price: 0.3145,2023-12-05 11:26:21.463000
1135,ANKRUSDT,💥💥💥,1 kline,alert price: 0.02903,2023-12-05 11:23:58.701000
1136,GMTUSDT,💥💥💥,1 kline,alert price: 0.2922,2023-12-05 11:19:48.568000
1137,KEYUSDT,💥💥💥,1 kline,alert price: 0.006313,2023-12-05 11:16:57.347000
1139,PHBUSDT,🌊🌊🌊,2 kline,alert price: 0.8552,2023-12-05 11:11:26.380000
1141,BAKEUSDT,💥💥💥,1 kline,alert price: 0.1796,2023-12-05 11:01:54.174000
1142,KNCUSDT,💥💥💥,1 kline,alert price: 0.7422,2023-12-05 10:57:52.144000
1143,STPTUSDT,💥💥💥,1 kline,alert price: 0.06612,2023-12-05 10:53:47.174000
1144,IMXUSDT,🌊🌊🌊,2 kline,alert price: 1.4023,2023-12-05 10:25:37.330000
1145,DOTUSDT,💥💥💥,1 kline,alert price: 5.639,2023-12-05 10:20:28.056000
1146,IOTAUSDT,💥💥💥,1 kline,alert price: 0.3248,2023-12-05 10:18:54.359000
1147,GALUSDT,💥💥💥,1 kline,alert price: 1.6496,2023-12-05 10:15:33.401000
1148,HOOKUSDT,🌊🌊🌊,2 kline,alert price: 1.1215,2023-12-05 10:04:49.545000
1149,HIGHUSDT,💥💥💥,1 kline,alert price: 1.568,2023-12-05 10:01:38.249000
1150,APEUSDT,💥💥💥,1 kline,alert price: 1.645,2023-12-05 09:57:37.319000
1151,AXSUSDT,💥💥💥,1 kline,alert price: 7.054,2023-12-05 09:51:45.959000
1152,BEAMXUSDT,💥💥💥,1 kline,alert price: 0.012282,2023-12-05 09:42:44.014000
1153,NEOUSDT,💥💥💥,1 kline,alert price: 11.964,2023-12-05 09:37:20.125000
1154,MINAUSDT,💥💥💥,1 kline,alert price: 0.7584,2023-12-05 09:35:36.622000
1155,KEYUSDT,💥💥💥,1 kline,alert price: 0.006473,2023-12-05 09:30:25.461000
1156,AUDIOUSDT,💥💥💥,1 kline,alert price: 0.2313,2023-12-05 09:27:56.497000
1157,ARKMUSDT,💥💥💥,1 kline,alert price: 0.5296,2023-12-05 09:25:19.896000
1158,IDUSDT,💥💥💥,1 kline,alert price: 0.3013,2023-12-05 09:24:34.550000
1159,BONDUSDT,🌊🌊🌊,2 kline,alert price: 3.725,2023-12-05 09:24:30.571000
1160,EDUUSDT,🌊🌊🌊,2 kline,alert price: 0.6477,2023-12-05 09:20:26.125000
1161,ONEUSDT,🌊🌊🌊,2 kline,alert price: 0.01485,2023-12-05 09:17:19.824000
1162,XVGUSDT,🌊🌊🌊,2 kline,alert price: 0.003768,2023-12-05 09:17:03.939000
1163,ORDIUSDT,💥💥💥,1 kline,alert price: 51.053,2023-12-05 09:16:32.920000
1164,HIFIUSDT,💥💥💥,1 kline,alert price: 0.7449,2023-12-05 09:09:26.256000
1165,ORBSUSDT,🌊🌊🌊,2 kline,alert price: 0.04838,2023-12-05 09:08:53.351000
1166,BNXUSDT,🌊🌊🌊,2 kline,alert price: 0.3009,2023-12-05 09:05:05.585000
1167,1000FLOKIUSDT,💥💥💥,1 kline,alert price: 0.03941,2023-12-05 08:57:51.203000
1168,1000LUNCUSDT,💥💥💥,1 kline,alert price: 0.25041,2023-12-05 08:52:53.937000
1169,FXSUSDT,💥💥💥,1 kline,alert price: 8.706,2023-12-05 08:51:55.980000
1170,HIGHUSDT,💥💥💥,1 kline,alert price: 1.566,2023-12-05 08:47:51.378000
1171,JOEUSDT,💥💥💥,1 kline,alert price: 0.5097,2023-12-05 08:46:33.556000
1172,AGLDUSDT,💥💥💥,1 kline,alert price: 1.1014,2023-12-05 08:46:20.456000
1173,BANDUSDT,💥💥💥,1 kline,alert price: 1.5549,2023-12-05 08:44:44.503000
1174,SUIUSDT,💥💥💥,1 kline,alert price: 0.6424,2023-12-05 08:41:10.412000
1175,BIGTIMEUSDT,💥💥💥,1 kline,alert price: 0.835,2023-12-05 08:38:54.979000
1176,DARUSDT,🌊🌊🌊,2 kline,alert price: 0.1358,2023-12-05 08:32:04.857000
1177,ACHUSDT,💥💥💥,1 kline,alert price: 0.02269,2023-12-05 08:31:58.217000
1178,IOSTUSDT,💥💥💥,1 kline,alert price: 0.010433,2023-12-05 08:30:20.045000
1179,MAGICUSDT,🌊🌊🌊,2 kline,alert price: 0.9052,2023-12-05 08:28:36.316000
1180,TLMUSDT,🌊🌊🌊,2 kline,alert price: 0.01615,2023-12-05 08:24:03.000000
1181,ARUSDT,🌊🌊🌊,2 kline,alert price: 8.422,2023-12-05 08:22:55.986000
1182,COMBOUSDT,💥💥💥,1 kline,alert price: 0.7758,2023-12-05 08:19:25.755000
1183,ARPAUSDT,💥💥💥,1 kline,alert price: 0.05224,2023-12-05 08:18:50.075000
1184,MEMEUSDT,💥💥💥,1 kline,alert price: 0.041174,2023-12-05 08:18:46.519000
1185,DUSKUSDT,🌊🌊🌊,2 kline,alert price: 0.17254,2023-12-05 08:18:22.994000
1186,OMGUSDT,💥💥💥,1 kline,alert price: 0.6882,2023-12-05 08:17:56.806000
1187,CKBUSDT,💥💥💥,1 kline,alert price: 0.003451,2023-12-05 08:17:54.480000
1188,ARKMUSDT,💥💥💥,1 kline,alert price: 0.5237,2023-12-05 08:15:56.588000
1189,AGIXUSDT,🌊🌊🌊,2 kline,alert price: 0.3148,2023-12-05 08:14:58.329000
1190,STGUSDT,🌊🌊🌊,2 kline,alert price: 0.5785,2023-12-05 08:14:10.024000
1191,RVNUSDT,💥💥💥,1 kline,alert price: 0.02102,2023-12-05 08:14:07.116000
1192,STMXUSDT,🌊🌊🌊,2 kline,alert price: 0.00846,2023-12-05 08:12:53.101000
1193,ZENUSDT,💥💥💥,1 kline,alert price: 11.389,2023-12-05 08:10:45.821000
1194,BLURUSDT,🌊🌊🌊,3 kline,alert price: 0.5478,2023-12-05 08:06:46.935000
1195,TIAUSDT,💥💥💥,1 kline,alert price: 8.6605,2023-12-05 08:01:28.247000
1196,TUSDT,💥💥💥,1 kline,alert price: 0.02728,2023-12-05 08:00:45.549000
1197,LPTUSDT,💥💥💥,1 kline,alert price: 6.971,2023-12-05 08:00:06.003000
1198,ZILUSDT,🌊🌊🌊,2 kline,alert price: 0.02322,2023-12-05 07:54:33.069000
1199,KEYUSDT,💥💥💥,1 kline,alert price: 0.006274,2023-12-05 07:49:40.096000
1200,KEYUSDT,💥💥💥,1 kline,alert price: 0.006274,2023-12-05 07:49:40.096000
1201,GALAUSDT,🌊🌊🌊,2 kline,alert price: 0.03096,2023-12-05 07:49:32.621000
1202,STRAXUSDT,🌊🌊🌊,2 kline,alert price: 1.0999,2023-12-05 07:48:23.943000
1203,ANKRUSDT,💥💥💥,1 kline,alert price: 0.02849,2023-12-05 07:40:50.409000
1204,SEIUSDT,🌊🌊🌊,2 kline,alert price: 0.2789,2023-12-05 07:34:27.494000
1205,1000PEPEUSDT,💥💥💥,1 kline,alert price: 0.001433,2023-12-05 07:25:56.370000
1206,XVSUSDT,💥💥💥,1 kline,alert price: 8.531,2023-12-05 07:23:51.689000
1207,FLOWUSDT,💥💥💥,1 kline,alert price: 0.827,2023-12-05 07:14:57.447000
1208,SUIUSDT,🌊🌊🌊,2 kline,alert price: 0.629,2023-12-05 07:12:47.363000
1209,TOKENUSDT,💥💥💥,1 kline,alert price: 0.04782,2023-12-05 07:07:32.038000
1210,GLMRUSDT,💥💥💥,1 kline,alert price: 0.3186,2023-12-05 07:00:34.344000
1211,IOTXUSDT,💥💥💥,1 kline,alert price: 0.04466,2023-12-05 06:54:59.376000
1212,GRTUSDT,💥💥💥,1 kline,alert price: 0.15102,2023-12-05 06:48:56.200000
1213,AGLDUSDT,💥💥💥,1 kline,alert price: 1.0508,2023-12-05 06:47:33.340000
1214,BONDUSDT,💥💥💥,1 kline,alert price: 3.718,2023-12-05 06:38:25.409000
1215,C98USDT,💥💥💥,1 kline,alert price: 0.1998,2023-12-05 06:38:24.154000
1216,BLURUSDT,💥💥💥,1 kline,alert price: 0.5497,2023-12-05 06:38:21.012000
1217,GMTUSDT,💥💥💥,1 kline,alert price: 0.2859,2023-12-05 06:38:15.581000
1218,HOOKUSDT,💥💥💥,1 kline,alert price: 1.0915,2023-12-05 06:38:13.288000
1219,ORBSUSDT,🌊🌊🌊,2 kline,alert price: 0.04639,2023-12-05 06:35:31.708000
1221,ANKRUSDT,💥💥💥,1 kline,alert price: 0.02784,2023-12-05 06:31:29.744000
1222,STGUSDT,🌊🌊🌊,2 kline,alert price: 0.5757,2023-12-05 06:30:14.372000
1223,MANAUSDT,🌊🌊🌊,2 kline,alert price: 0.472,2023-12-05 06:28:47.814000
1224,FRONTUSDT,🌊🌊🌊,2 kline,alert price: 0.3561,2023-12-05 06:27:03.001000
1225,HFTUSDT,🌊🌊🌊,2 kline,alert price: 0.3312,2023-12-05 06:27:01.252000
1226,OCEANUSDT,💥💥💥,1 kline,alert price: 0.5454,2023-12-05 06:27:00.978000
1227,KASUSDT,🌊🌊🌊,2 kline,alert price: 0.14394,2023-12-05 06:27:00.125000
1229,1000PEPEUSDT,💥💥💥,1 kline,alert price: 0.0014163,2023-12-05 06:24:31.530000
1230,MBLUSDT,💥💥💥,1 kline,alert price: 0.00544,2023-12-05 06:20:13.034000
1231,COMBOUSDT,💥💥💥,1 kline,alert price: 0.7676,2023-12-05 06:15:26.367000
1232,BELUSDT,💥💥💥,1 kline,alert price: 0.687,2023-12-05 06:13:52.646000
1233,BADGERUSDT,💥💥💥,1 kline,alert price: 4.648,2023-12-05 06:12:50.905000
1234,SEIUSDT,💥💥💥,1 kline,alert price: 0.281,2023-12-05 06:09:19.208000
1235,BIGTIMEUSDT,💥💥💥,1 kline,alert price: 0.7941,2023-12-05 06:05:53.290000
1236,ZENUSDT,💥💥💥,1 kline,alert price: 11.289,2023-12-05 06:05:17.039000
1237,HBARUSDT,🌊🌊🌊,2 kline,alert price: 0.06505,2023-12-05 06:04:34.907000
1238,PHBUSDT,🌊🌊🌊,2 kline,alert price: 0.8435,2023-12-05 06:02:14.412000
1239,SUPERUSDT,💥💥💥,1 kline,alert price: 0.6994,2023-12-05 05:48:30.775000
1240,NTRNUSDT,💥💥💥,1 kline,alert price: 0.7343,2023-12-05 05:48:25.366000
1241,CYBERUSDT,💥💥💥,1 kline,alert price: 7.148,2023-12-05 05:48:20.898000
1242,MAVUSDT,💥💥💥,1 kline,alert price: 0.3521,2023-12-05 05:44:56.903000
1243,CHRUSDT,💥💥💥,1 kline,alert price: 0.1535,2023-12-05 05:40:08.250000
1244,RIFUSDT,🌊🌊🌊,2 kline,alert price: 0.13481,2023-12-05 05:38:17.570000
1245,KEYUSDT,💥💥💥,1 kline,alert price: 0.006222,2023-12-05 05:37:51.117000
1246,BEAMXUSDT,💥💥💥,1 kline,alert price: 0.012184,2023-12-05 05:37:38.316000
1247,BICOUSDT,🌊🌊🌊,2 kline,alert price: 0.2996,2023-12-05 05:33:25.362000
1248,AUDIOUSDT,💥💥💥,1 kline,alert price: 0.2354,2023-12-05 05:29:37.029000
1249,ACHUSDT,💥💥💥,1 kline,alert price: 0.02265,2023-12-05 05:27:17.647000
1250,TUSDT,🌊🌊🌊,2 kline,alert price: 0.0273,2023-12-05 05:18:20.312000
1251,JOEUSDT,💥💥💥,1 kline,alert price: 0.481,2023-12-05 04:59:12.964000
1252,MEMEUSDT,💥💥💥,1 kline,alert price: 0.037921,2023-12-05 04:58:46.162000
1253,XVSUSDT,💥💥💥,1 kline,alert price: 8.169,2023-12-05 04:57:34.848000
1254,AGLDUSDT,💥💥💥,1 kline,alert price: 1.0181,2023-12-05 04:56:21.226000
1255,KASUSDT,💥💥💥,1 kline,alert price: 0.1422,2023-12-05 04:55:37.739000
1256,FETUSDT,💥💥💥,1 kline,alert price: 0.5393,2023-12-05 04:47:54.882000
1257,COMPUSDT,💥💥💥,1 kline,alert price: 51.47,2023-12-05 04:41:43.549000
1258,GTCUSDT,💥💥💥,1 kline,alert price: 1.175,2023-12-05 04:33:54.714000
1259,MDTUSDT,💥💥💥,1 kline,alert price: 0.06038,2023-12-05 04:15:58.907000
1260,LPTUSDT,💥💥💥,1 kline,alert price: 6.99,2023-12-05 04:15:41.442000
1262,YGGUSDT,💥💥💥,1 kline,alert price: 0.3823,2023-12-05 04:01:55.009000
1263,ASTRUSDT,💥💥💥,1 kline,alert price: 0.07388,2023-12-05 04:01:54.567000
1264,1000PEPEUSDT,🌊🌊🌊,2 kline,alert price: 0.0014957,2023-12-05 04:01:53.243000
1265,1000FLOKIUSDT,🌊🌊🌊,2 kline,alert price: 0.03781,2023-12-05 04:01:43.313000
1266,TRUUSDT,🌊🌊🌊,2 kline,alert price: 0.05966,2023-12-05 04:00:55.005000
1267,ACHUSDT,💥💥💥,1 kline,alert price: 0.02303,2023-12-05 04:00:49.983000
1268,HFTUSDT,💥💥💥,1 kline,alert price: 0.3368,2023-12-05 04:00:46.313000
1269,AUDIOUSDT,🌊🌊🌊,2 kline,alert price: 0.2373,2023-12-05 03:59:37.756000
1270,IOSTUSDT,🌊🌊🌊,2 kline,alert price: 0.009939,2023-12-05 03:58:59.035000
1271,THETAUSDT,💥💥💥,1 kline,alert price: 1.151,2023-12-05 03:57:52.140000
1272,ZILUSDT,💥💥💥,1 kline,alert price: 0.02303,2023-12-05 03:57:12.878000
1273,PHBUSDT,💥💥💥,1 kline,alert price: 0.8606,2023-12-05 03:56:54.455000
1274,ORBSUSDT,💥💥💥,1 kline,alert price: 0.04619,2023-12-05 03:51:54.838000
1275,SXPUSDT,💥💥💥,1 kline,alert price: 0.3717,2023-12-05 03:51:53.649000
1276,HOOKUSDT,💥💥💥,1 kline,alert price: 1.0967,2023-12-05 03:50:18.825000
1277,IOTAUSDT,💥💥💥,1 kline,alert price: 0.3354,2023-12-05 03:48:50.597000
1278,JASMYUSDT,💥💥💥,1 kline,alert price: 0.005817,2023-12-05 03:47:43.418000
1279,SNTUSDT,💥💥💥,1 kline,alert price: 0.04467,2023-12-05 03:46:59.373000
1280,MEMEUSDT,💥💥💥,1 kline,alert price: 0.03748,2023-12-05 03:46:53.489000
1281,ANKRUSDT,🌊🌊🌊,3 kline,alert price: 0.0276,2023-12-05 03:46:34.644000
1282,GASUSDT,🌊🌊🌊,2 kline,alert price: 8.01,2023-12-05 03:44:43.141000
1283,RLCUSDT,🌊🌊🌊,2 kline,alert price: 1.5374,2023-12-05 03:44:34.038000
1284,XVSUSDT,💥💥💥,1 kline,alert price: 8.391,2023-12-05 03:42:25.463000
1285,NKNUSDT,🌊🌊🌊,2 kline,alert price: 0.11587,2023-12-05 03:41:16.801000
1286,PENDLEUSDT,💥💥💥,1 kline,alert price: 1.2776,2023-12-05 03:39:00.355000
1287,SPELLUSDT,🌊🌊🌊,2 kline,alert price: 0.0006186,2023-12-05 03:38:00.165000
1288,HBARUSDT,🌊🌊🌊,2 kline,alert price: 0.06541,2023-12-05 03:36:56.614000
1289,ZECUSDT,💥💥💥,1 kline,alert price: 31.97,2023-12-05 03:36:56.195000
1290,MBLUSDT,🌊🌊🌊,2 kline,alert price: 0.005462,2023-12-05 03:35:39.668000
1291,BANDUSDT,💥💥💥,1 kline,alert price: 1.5896,2023-12-05 03:29:54.522000
1292,SUPERUSDT,💥💥💥,1 kline,alert price: 0.6916,2023-12-05 03:23:59.064000
1293,BICOUSDT,💥💥💥,1 kline,alert price: 0.2961,2023-12-05 03:22:57.294000
1294,WAVESUSDT,💥💥💥,1 kline,alert price: 2.2174,2023-12-05 03:20:31.046000
1295,KNCUSDT,🌊🌊🌊,2 kline,alert price: 0.7347,2023-12-05 03:19:20.953000
1296,ARKMUSDT,💥💥💥,1 kline,alert price: 0.51,2023-12-05 03:18:50.400000
1297,BNTUSDT,💥💥💥,1 kline,alert price: 0.7947,2023-12-05 03:17:48.302000
